elapsed_time_sec,temperature_c,humidity_pct,pressure_hpa
3.037e-06,25.005491,49.448555,1012.94495
0.100072816,24.985167,50.144817,1012.889
0.20006935,25.038847,50.06777,1013.0415
0.30006477,25.080427,50.036053,1012.9635
0.40006343,25.003454,49.821934,1012.9898
0.5000627,24.980307,49.62891,1012.9708
0.600069,24.973993,50.42222,1012.9921
0.7000667,25.007109,50.051037,1013.00714
0.8000657,25.004904,50.072792,1013.02765
0.9000632,24.95361,49.831768,1013.09326
1.0000639,24.988937,50.092472,1013.01624
1.1000708,24.94483,49.901463,1012.9418
1.2000687,25.09223,49.988037,1012.9634
1.3000671,25.019564,50.025646,1013.05804
1.4000813,24.965395,49.84808,1013.08655
1.5000863,25.120255,49.780285,1012.9758
1.6001062,24.986164,49.60044,1013.0808
1.7000865,25.041681,50.083656,1012.99194
1.8000869,25.04734,50.24905,1013.0112
1.9000847,24.96425,50.126343,1013.0257
2.0000856,25.083704,49.862415,1013.0007
2.100104,24.992186,50.34175,1012.9992
2.200097,25.056425,50.035305,1013.0586
2.3000944,25.011452,50.10397,1013.0402
2.4000883,24.922474,49.832012,1012.97766
2.5000856,24.971012,50.30179,1013.0125
2.6000965,25.093046,50.27072,1013.02167
2.7000904,25.013239,49.760525,1013.0931
2.8000886,24.968569,50.113056,1013.03357
2.9000845,25.021055,50.323215,1012.8931
3.0000858,24.948477,49.907272,1013.0324
3.1000974,25.096502,50.44076,1013.1248
3.200098,25.027918,50.254375,1012.9539
3.3000906,25.061268,50.063145,1013.07526
3.4000864,25.004045,50.243023,1012.98334
3.5000844,25.101013,50.259712,1012.99963
3.6000972,24.991772,49.86078,1013.00195
3.7000914,25.0377,50.00893,1012.99365
3.800087,25.104116,49.954823,1012.9397
3.900084,25.043444,50.40282,1012.99664
4.0000854,24.975132,49.889008,1013.0377
4.100099,25.030235,49.968433,1013.11066
4.200094,24.93113,50.420807,1013.02435
