elapsed_time_sec,temperature_c,humidity_pct,pressure_hpa
2e-06,24.94073,49.945732,1012.99774
0.1000954,25.095987,49.78773,1013.02203
0.20009528,24.93603,49.92066,1012.95496
0.3000854,24.97216,50.021175,1013.0268
0.40009055,24.954893,50.06587,1012.9298
0.5000916,25.00511,49.968338,1013.1016
0.6000894,25.039448,49.88173,1012.9895
0.7000935,25.02817,49.852543,1012.939
0.80009294,24.967464,50.29993,1012.94574
0.9000919,25.02574,49.710743,1013.005
1.0000961,25.034866,50.093884,1013.01685
1.1000873,25.027662,50.131077,1013.07855
1.2001002,24.907576,50.003754,1012.97076
1.3000873,25.015411,49.908092,1013.1442
1.4000897,24.9932,49.970467,1013.0417
1.5000943,24.998663,50.245903,1013.0367
1.6000879,24.995337,50.156364,1013.00336
1.7000846,24.982838,49.98976,1012.9915
1.8000784,25.028845,49.822212,1013.02637
1.9000849,25.013514,50.06225,1013.09186
2.0000832,24.996323,50.06616,1013.0548
2.1000798,25.001131,49.993633,1013.02185
2.2000992,24.94072,49.966362,1012.9255
2.3000865,25.055641,49.965225,1013.0209
2.4000847,24.9855,49.7003,1012.99396
2.500084,25.014374,49.888386,1013.0205
2.6000812,25.024574,49.64739,1012.9284
2.7000823,24.976849,49.65858,1013.00665
2.8000867,24.990223,49.936977,1013.03296
2.9000847,25.040115,49.86876,1012.9544
3.000084,25.134737,50.02615,1013.011
3.1000814,25.078516,49.6798,1013.0265
3.2000973,24.945347,50.240395,1013.011
3.3000855,24.963787,50.181595,1012.98126
3.4000852,25.04557,50.159832,1012.924
3.5000956,25.070852,50.15955,1013.11676
3.6000972,24.987278,49.798115,1013.03485
3.7000859,25.049686,50.516014,1013.09344
3.8000891,24.978525,50.001476,1013.0124
3.900085,25.048468,50.10681,1012.9835
4.0000854,25.04603,50.18631,1013.01355
4.1000996,24.953333,49.793484,1012.98627
4.2000957,25.054453,50.08386,1013.02374
4.300134,24.980825,49.894066,1013.04956
4.4001307,25.139301,50.083553,1013.03265
4.5001154,25.138102,49.720013,1013.0744
4.6000857,25.06202,49.91317,1013.03143
4.70009,24.985952,50.057896,1013.0152
4.8000784,24.99209,50.14873,1012.9486
4.9000845,24.973602,50.015984,1013.0879
5.0000944,24.965355,50.22332,1013.0049
5.1000867,24.90703,50.43513,1013.0174
5.2000976,25.07809,49.889904,1012.97754
5.30009,24.997564,50.001,1012.94037
5.4000845,25.114302,49.99366,1012.97144
5.500092,24.987625,50.106274,1012.9785
5.6000977,25.071163,50.12866,1013.0163
5.700096,25.1283,50.028316,1013.0299
5.8000875,24.93197,50.191513,1013.072
5.90009,24.983164,50.30595,1013.0763
6.00009,24.931581,50.06441,1013.0579
6.1000896,25.063,49.84264,1012.9796
6.200098,24.990816,49.990803,1013.0471
6.3000884,24.979353,50.118343,1012.9759
6.4000936,25.03708,49.94864,1012.9971
6.5001025,24.971596,50.581112,1013.0476
6.6000896,25.065239,50.087734,1013.00507
6.700102,24.973991,50.349064,1013.0234
6.800093,25.102726,49.891994,1013.01526
6.9000926,25.079079,49.58669,1012.9972
7.0000887,25.080994,50.07408,1013.0597
7.1000943,24.997486,50.18975,1013.1078
7.2000957,25.062744,50.20222,1012.97766
7.3000917,25.055996,50.057297,1013.032
7.4000955,25.026934,49.880295,1013.09515
7.5000963,25.06887,50.09018,1012.9725
7.6000915,25.075153,50.22084,1013.1272
7.7000957,25.123863,49.879944,1013.0693
7.800092,24.976997,50.11893,1012.98175
7.9000926,25.08861,50.03464,1012.8826
8.000087,25.017334,49.637466,1013.02734
8.100092,25.10126,49.875595,1013.07465
8.200093,24.966915,50.470722,1013.03284
8.300095,25.053215,49.989346,1013.06854
8.40009,25.056097,50.228477,1013.0549
8.500115,25.121944,49.68324,1013.03314
8.60009,25.116337,50.144287,1013.0285
8.700096,25.002476,49.79812,1013.0307
8.800091,24.952276,50.08013,1012.92206
8.900096,25.033058,49.92648,1012.90656
9.000084,25.081022,50.30787,1013.1353
9.10008,25.065256,50.169735,1012.9282
9.20009,24.991896,49.883705,1013.02295
9.300079,25.005646,49.897213,1012.98645
9.4000845,25.12426,49.97507,1013.0458
9.500088,24.894356,50.07905,1013.0594
9.600084,24.933558,50.29913,1013.00903
9.700087,24.996206,50.495544,1013.02014
9.800085,25.070435,50.325783,1012.9362
9.900086,25.091679,50.23654,1013.11584
10.0000925,25.035381,49.957127,1012.9947
10.100083,25.081413,49.93848,1013.13104
10.200089,25.022963,50.137695,1013.0071
10.300086,25.051155,50.252407,1013.0489
10.400084,25.054594,49.938263,1013.0007
10.500079,25.005861,50.002567,1013.00903
10.600085,24.972979,50.046642,1013.05707
10.700084,25.033533,50.232014,1012.9442
10.800085,25.12134,50.101933,1012.9732
10.900085,24.97159,50.07379,1013.076
11.000089,25.071072,50.37479,1013.02216
11.10008,25.134905,50.26248,1013.06604
11.200084,25.093113,50.10635,1012.9996
11.300085,25.065422,50.092518,1013.0073
11.400084,25.03329,49.63711,1013.0078
11.500087,25.081257,50.010227,1013.01465
11.600089,25.147057,49.977863,1013.015
11.700087,25.084572,50.19462,1013.01013
11.800086,25.108074,50.04968,1013.0692
11.900089,25.070322,50.596844,1013.1038
12.000089,25.044514,49.994766,1013.0188
12.100089,25.044527,49.876637,1013.05304
12.200142,25.110645,50.030067,1012.9902
12.300082,25.095718,50.070705,1013.05884
12.400084,25.202377,50.07999,1012.99274
12.500089,25.009512,49.951313,1013.0079
12.600086,25.051163,50.205307,1013.08093
12.700094,25.027182,50.472534,1013.0789
12.800084,25.128506,50.596783,1013.0115
12.9000845,25.097145,50.033234,1013.00226
13.000088,25.058088,50.437428,1013.0161
13.10008,25.07208,50.10075,1013.0242
13.200087,24.961533,50.209354,1012.9122
13.300086,25.020185,50.464397,1012.97327
13.400086,25.028673,50.14966,1012.9798
13.500088,25.07971,49.553596,1013.0156
13.600085,25.145695,50.17537,1013.0823
13.700089,25.15695,50.122425,1013.0473
