elapsed_time_sec,temperature_c_lp_ma,humidity_pct_lp_ma,pressure_hpa_lp_ma
1.7e-06,25.0228,50.0252,1013.01
0.100462,25.0228,50.0252,1013.01
0.200269,25.0228,50.0252,1013.01
0.300714,25.0228,50.0252,1013.01
0.400504,25.0228,50.0252,1013.01
0.500506,25.0228,50.0252,1013.01
0.600571,25.0228,50.0252,1013.01
0.700446,25.0228,50.0252,1013.01
0.80045,25.0228,50.0252,1013.01
0.900387,25.0228,50.0252,1013.01
1.00045,25.0228,50.0252,1013.01
1.10037,25.0228,50.0252,1013.01
1.20011,25.0228,50.0252,1013.01
1.30019,25.0228,50.0252,1013.01
1.40041,25.0228,50.0252,1013.01
1.50071,25.0228,50.0252,1013.01
1.60054,25.0228,50.0252,1013.01
1.701,25.0228,50.0252,1013.01
1.80075,25.0228,50.0252,1013.01
1.90034,25.0228,50.0252,1013.01
2.001,25.0228,50.0252,1013.01
2.10058,25.0228,50.0252,1013.01
2.20027,25.0228,50.0252,1013.01
2.30066,25.0228,50.0252,1013.01
2.40013,25.0228,50.0252,1013.01
2.50059,25.0228,50.0252,1013.01
2.60038,25.0228,50.0252,1013.01
2.70059,25.0228,50.0252,1013.01
2.80065,25.0228,50.0252,1013.01
2.90093,25.0228,50.0252,1013.01
3.00085,25.0228,50.0252,1013.01
3.10073,25.0228,50.0252,1013.01
3.20067,25.0228,50.0252,1013.01
3.30026,25.0228,50.0252,1013.01
3.40041,25.0228,50.0252,1013.01
3.50073,25.0228,50.0252,1013.01
3.6003,25.0228,50.0252,1013.01
3.70019,25.0228,50.0252,1013.01
3.80071,25.0228,50.0252,1013.01
3.90039,25.0228,50.0252,1013.01
4.00068,25.0228,50.0252,1013.01
4.10061,25.0228,50.0252,1013.01
4.20051,25.0228,50.0252,1013.01
4.3006,25.0228,50.0252,1013.01
4.40014,25.0228,50.0252,1013.01
4.5004,25.0228,50.0252,1013.01
4.60023,25.0228,50.0252,1013.01
4.70028,25.0228,50.0252,1013.01
4.80063,25.0228,50.0252,1013.01
4.90059,25.0228,50.0252,1013.01
5.00056,25.0228,50.0252,1013.01
5.10038,25.0228,50.0252,1013.01
5.20033,25.0228,50.0252,1013.01
5.30049,25.0228,50.0252,1013.01
5.40046,25.0228,50.0252,1013.01
5.50041,25.0228,50.0252,1013.01
5.60074,25.0228,50.0252,1013.01
5.7004,25.0228,50.0252,1013.01
5.80072,25.0228,50.0252,1013.01
5.90062,25.0228,50.0252,1013.01
6.00067,25.0228,50.0252,1013.01
6.10033,25.0228,50.0252,1013.01
6.20066,25.0228,50.0252,1013.01
6.30049,25.0228,50.0252,1013.01
6.40041,25.0228,50.0252,1013.01
6.5009,25.0228,50.0252,1013.01
6.60044,25.0228,50.0252,1013.01
6.70041,25.0228,50.0252,1013.01
6.8004,25.0228,50.0252,1013.01
6.90064,25.0228,50.0252,1013.01
7.00089,25.0228,50.0252,1013.01
7.10093,25.0228,50.0252,1013.01
7.20062,25.0228,50.0252,1013.01
7.30057,25.0228,50.0252,1013.01
7.40069,25.0228,50.0252,1013.01
7.50039,25.0228,50.0252,1013.01
7.60087,25.0228,50.0252,1013.01
7.70075,25.0228,50.0252,1013.01
7.80021,25.0228,50.0252,1013.01
7.90064,25.0228,50.0252,1013.01
8.00043,25.0228,50.0252,1013.01
8.1004,25.0228,50.0252,1013.01
8.20059,25.0228,50.0252,1013.01
8.3006,25.0228,50.0252,1013.01
8.40056,25.0228,50.0252,1013.01
8.5005,25.0228,50.0252,1013.01
8.60058,25.0228,50.0252,1013.01
8.70058,25.0228,50.0252,1013.01
8.80058,25.0228,50.0252,1013.01
8.90034,25.0228,50.0252,1013.01
9.00071,25.0228,50.0252,1013.01
9.10046,25.0228,50.0252,1013.01
9.20075,25.0228,50.0252,1013.01
9.30063,25.0228,50.0252,1013.01
9.40066,25.0228,50.0252,1013.01
9.50017,25.0228,50.0252,1013.01
9.60022,25.0228,50.0252,1013.01
9.70045,25.0228,50.0252,1013.01
9.8007,25.0228,50.0252,1013.01
9.9003,25.0228,50.0252,1013.01
10.0002,25.0228,50.0252,1013.01
