elapsed_time_sec,temperature_c_lp_ma,humidity_pct_lp_ma,pressure_hpa_lp_ma
3.037e-06,25.0161,50.0421,1013.01
0.100073,25.0161,50.0421,1013.01
0.200069,25.0161,50.0421,1013.01
0.300065,25.0161,50.0421,1013.01
0.400063,25.0161,50.0421,1013.01
0.500063,25.0161,50.0421,1013.01
0.600069,25.0161,50.0421,1013.01
0.700067,25.0161,50.0421,1013.01
0.800066,25.0161,50.0421,1013.01
0.900063,25.0161,50.0421,1013.01
1.00006,25.0161,50.0421,1013.01
1.10007,25.0161,50.0421,1013.01
1.20007,25.0161,50.0421,1013.01
1.30007,25.0161,50.0421,1013.01
1.40008,25.0161,50.0421,1013.01
1.50009,25.0161,50.0421,1013.01
1.60011,25.0161,50.0421,1013.01
1.70009,25.0161,50.0421,1013.01
1.80009,25.0161,50.0421,1013.01
1.90008,25.0161,50.0421,1013.01
2.00009,25.0161,50.0421,1013.01
2.1001,25.0161,50.0421,1013.01
2.2001,25.0161,50.0421,1013.01
2.30009,25.0161,50.0421,1013.01
2.40009,25.0161,50.0421,1013.01
2.50009,25.0161,50.0421,1013.01
2.6001,25.0161,50.0421,1013.01
2.70009,25.0161,50.0421,1013.01
2.80009,25.0161,50.0421,1013.01
2.90008,25.0161,50.0421,1013.01
3.00009,25.0161,50.0421,1013.01
3.1001,25.0161,50.0421,1013.01
3.2001,25.0161,50.0421,1013.01
3.30009,25.0161,50.0421,1013.01
3.40009,25.0161,50.0421,1013.01
3.50008,25.0161,50.0421,1013.01
3.6001,25.0161,50.0421,1013.01
3.70009,25.0161,50.0421,1013.01
3.80009,25.0161,50.0421,1013.01
3.90008,25.0161,50.0421,1013.01
4.00009,25.0161,50.0421,1013.01
4.1001,25.0161,50.0421,1013.01
4.20009,25.0161,50.0421,1013.01
